Query,Classification
Explain the concept of supply and demand in economics.,educational
"Hello, can you tell me about science?",educational
 the major components of a cell?,educational
Art,educational
"Hi, what types of questions can you answer?",educational
 the concept of a group representation?,educational
Explain the concept of artificial intelligence.,educational
Can you recommend a good approach for boosting career performance?,noneducational
 the concept of an affine transformation?,educational
Describe the function of the integumentary system.,educational
Explain the significance of the cell membrane.,educational
 the definition of a Sobolev Space in analysis?,educational
"Hello, what can you assist with?",educational
 the definition of a Continuum Hypothesis in set theory?,educational
Biochemistry,educational
Seismology,educational
Define the term 'ecosystem'.,educational
How does evolution explain the diversity of life?,educational
Describe the process of DNA replication.,educational
 the concept of a Sheaf in topology?,educational
 the definition of a derivative in calculus?,educational
Bioinformatics,educational
 the concept of a metric space in mathematics?,educational
 the concept of a Cauchy sequence?,educational
Geothermal Energy,educational
How do you calculate the area of a triangle?,educational
Which gas makes up the majority of Earth's atmosphere?,educational
Do you have any travel tips?,noneducational
Good evening!,educational
How does the process of meiosis ensure genetic diversity?,educational
 the function of the skeletal system?,educational
